culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml,host,phage,flask
SNCt,L2,9,no-seed-bank,NA,1,253373381.8515371,253373382.8515371,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,9,no-seed-bank,NA,1,697753199.0098383,697753200.0098383,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,9,with-seed-bank,NA,201282292.59069932,268194086.31654918,469476378.9072485,WT,no_Phage,WLCt-L1
WLCt,L2,9,with-seed-bank,NA,271927285.8072537,306342329.0607822,578269614.8680359,WT,no_Phage,WLCt-L2
WLCt,L3,9,with-seed-bank,NA,135860075.58090657,185597626.64341968,321457702.22432625,WT,no_Phage,WLCt-L3
SNO,L1,9.5,no-seed-bank,341870452.6586402,1,44256179.29257125,44256180.29257125,dSpoIIE,SPO1,SNO-L1
SNO,L2,9.5,no-seed-bank,620238489.190389,1,83130280.74494052,83130281.74494052,dSpoIIE,SPO1,SNO-L2
SNO,L3,9.5,no-seed-bank,93224905.710006,1,18371366.638280638,18371367.638280638,dSpoIIE,SPO1,SNO-L3
WLO,L1,9.5,with-seed-bank,265146571.62743914,31140792.946786903,20867564.50890156,52008357.45568846,WT,SPO1,WLO-L1
WLO,L2,9.5,with-seed-bank,558126322.8028226,25651896.743070107,24819276.997937616,50471173.74100772,WT,SPO1,WLO-L2
WLO,L3,9.5,with-seed-bank,122514695.25932066,42726813.630687684,5044999.501839573,47771813.132527255,WT,SPO1,WLO-L3
SNCt,L1,9.5,no-seed-bank,NA,1,968670411.3343083,968670412.3343083,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,9.5,no-seed-bank,NA,1,585602780.7758497,585602781.7758497,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,9.5,no-seed-bank,NA,1,589561214.7689407,589561215.7689407,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,9.5,with-seed-bank,NA,149385126.53702056,529263923.8742261,678649050.4112467,WT,no_Phage,WLCt-L1
WLCt,L2,9.5,with-seed-bank,NA,353418182.9350027,367694997.9020649,721113180.8370676,WT,no_Phage,WLCt-L2
WLCt,L3,9.5,with-seed-bank,NA,321217066.57050854,325496985.92425096,646714052.4947596,WT,no_Phage,WLCt-L3
SNO,L1,10,no-seed-bank,307479717.10435176,1,35987241.58292585,35987242.58292585,dSpoIIE,SPO1,SNO-L1
SNO,L2,10,no-seed-bank,1225435927.2222397,1,89658358.79288323,89658359.79288323,dSpoIIE,SPO1,SNO-L2
SNO,L3,10,no-seed-bank,209259342.10949823,1,16942004.530695356,16942005.530695356,dSpoIIE,SPO1,SNO-L3
WLO,L1,10,with-seed-bank,182180087.81523073,39429720.30198063,7563234.37037451,46992954.67235514,WT,SPO1,WLO-L1
WLO,L2,10,with-seed-bank,508004467.7710663,41300205.84899822,7301650.507910658,48601856.35690887,WT,SPO1,WLO-L2
WLO,L3,10,with-seed-bank,373897963.0053097,90320088.18941492,3368911.9271126627,93689000.11652759,WT,SPO1,WLO-L3
SNCt,L1,10,no-seed-bank,NA,1,259724574.34659606,259724575.34659606,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,10,no-seed-bank,NA,1,385716097.66808325,385716098.66808325,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,10,no-seed-bank,NA,1,363001083.4112297,363001084.4112297,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,10,with-seed-bank,NA,186426072.18127686,263395430.4277065,449821502.6089834,WT,no_Phage,WLCt-L1
WLCt,L2,10,with-seed-bank,NA,605431124.9933102,37678647.36132802,643109772.3546382,WT,no_Phage,WLCt-L2
WLCt,L3,10,with-seed-bank,NA,354299653.0134257,203097174.5496809,557396827.5631065,WT,no_Phage,WLCt-L3
SNO,L1,10.5,no-seed-bank,225139592.30866933,1,45986442.903349176,45986443.903349176,dSpoIIE,SPO1,SNO-L1
SNO,L2,10.5,no-seed-bank,2653153153.654026,1,95326121.45922449,95326122.45922449,dSpoIIE,SPO1,SNO-L2
SNO,L3,10.5,no-seed-bank,592851819.3087466,1,22270797.1007112,22270798.1007112,dSpoIIE,SPO1,SNO-L3
WLO,L1,10.5,with-seed-bank,360654687.60216045,16052306.412415817,18200075.95098339,34252382.36339921,WT,SPO1,WLO-L1
WLO,L2,10.5,with-seed-bank,485810423.24938786,7351722.792329672,41852743.503247574,49204466.29557724,WT,SPO1,WLO-L2
WLO,L3,10.5,with-seed-bank,364062050.64492035,9511081.823711608,28794319.137878396,38305400.96159001,WT,SPO1,WLO-L3
SNCt,L1,10.5,no-seed-bank,NA,1,659344320.1200182,659344321.1200182,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,10.5,no-seed-bank,NA,1,664280981.2671576,664280982.2671576,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,10.5,no-seed-bank,NA,1,876598950.774646,876598951.774646,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,10.5,with-seed-bank,NA,210999238.86633086,525443471.4276967,736442710.2940276,WT,no_Phage,WLCt-L1
WLCt,L2,10.5,with-seed-bank,NA,206280513.1832123,310966934.0403515,517247447.2235638,WT,no_Phage,WLCt-L2
WLCt,L3,10.5,with-seed-bank,NA,431415156.91065097,211293634.67767227,642708791.5883232,WT,no_Phage,WLCt-L3
SNO,L1,11,no-seed-bank,447527633.77401257,1,16655047.660993487,16655048.660993487,dSpoIIE,SPO1,SNO-L1
SNO,L2,11,no-seed-bank,804484044.7474046,1,121694291.81176361,121694292.81176361,dSpoIIE,SPO1,SNO-L2
SNO,L3,11,no-seed-bank,329858225.32673943,1,13836585.816290658,13836586.816290658,dSpoIIE,SPO1,SNO-L3
WLO,L1,11,with-seed-bank,705337561.1389215,57801706.695321575,4333529.737654732,62135236.432976305,WT,SPO1,WLO-L1
WLO,L2,11,with-seed-bank,1137342721.945085,53823030.61699372,9918465.880836971,63741496.49783069,WT,SPO1,WLO-L2
WLO,L3,11,with-seed-bank,810051497.0829245,83317697.90273964,2283757.344348075,85601455.24708772,WT,SPO1,WLO-L3
SNCt,L1,11,no-seed-bank,NA,1,369512489.41486084,369512490.41486084,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,11,no-seed-bank,NA,1,408974721.9721626,408974722.9721626,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,11,no-seed-bank,NA,1,451984654.0929445,451984655.0929445,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,11,with-seed-bank,NA,232593704.87234598,320019890.5796138,552613595.4519598,WT,no_Phage,WLCt-L1
WLCt,L2,11,with-seed-bank,NA,297486527.070468,120394198.41990991,417880725.4903779,WT,no_Phage,WLCt-L2
WLCt,L3,11,with-seed-bank,NA,484158862.152273,216611198.36466599,700770060.5169389,WT,no_Phage,WLCt-L3
SNO,L1,11.5,no-seed-bank,233786352.22810614,1,33296965.937186852,33296966.937186852,dSpoIIE,SPO1,SNO-L1
SNO,L2,11.5,no-seed-bank,494738190.4544352,1,112543372.98793352,112543373.98793352,dSpoIIE,SPO1,SNO-L2
SNO,L3,11.5,no-seed-bank,283679428.9026244,1,27714502.41237977,27714503.41237977,dSpoIIE,SPO1,SNO-L3
WLO,L1,11.5,with-seed-bank,300971694.09625506,10807201.492274165,34521585.93925521,45328787.43152937,WT,SPO1,WLO-L1
WLO,L2,11.5,with-seed-bank,391182305.0936655,16949780.253606785,31541111.745227784,48490891.998834565,WT,SPO1,WLO-L2
WLO,L3,11.5,with-seed-bank,408651768.8774617,28139083.367576223,39418860.30261302,67557943.67018925,WT,SPO1,WLO-L3
SNCt,L1,11.5,no-seed-bank,NA,1,620296768.1850731,620296769.1850731,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,11.5,no-seed-bank,NA,1,571588882.2829964,571588883.2829964,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,11.5,no-seed-bank,NA,1,807808190.7340329,807808191.7340329,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,11.5,with-seed-bank,NA,501260451.1103714,431744949.84044135,933005400.9508128,WT,no_Phage,WLCt-L1
WLCt,L2,11.5,with-seed-bank,NA,257070840.9520166,348994791.93338335,606065632.8853999,WT,no_Phage,WLCt-L2
WLCt,L3,11.5,with-seed-bank,NA,407847059.7737874,277582541.6594024,685429601.4331897,WT,no_Phage,WLCt-L3
SNO,L1,12,no-seed-bank,260404976.42846483,1,31540310.05124306,31540311.05124306,dSpoIIE,SPO1,SNO-L1
SNO,L2,12,no-seed-bank,1080338598.663137,1,86834720.19843268,86834721.19843268,dSpoIIE,SPO1,SNO-L2
SNO,L3,12,no-seed-bank,474931454.8021109,1,25218842.731346242,25218843.731346242,dSpoIIE,SPO1,SNO-L3
WLO,L1,12,with-seed-bank,482403128.2503039,20616804.639934663,26492519.077776,47109323.71771066,WT,SPO1,WLO-L1
WLO,L2,12,with-seed-bank,784477296.9716538,104200036.4079372,23711246.10198127,127911282.50991847,WT,SPO1,WLO-L2
WLO,L3,12,with-seed-bank,899881264.9243374,89312829.25101227,4258520.0543942675,93571349.30540654,WT,SPO1,WLO-L3
SNCt,L1,12,no-seed-bank,NA,1,397038280.3711663,397038281.3711663,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,12,no-seed-bank,NA,1,459788858.9398023,459788859.9398023,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,12,no-seed-bank,NA,1,464806016.6339226,464806017.6339226,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,12,with-seed-bank,NA,521286361.8101525,278205664.2403884,799492026.0505409,WT,no_Phage,WLCt-L1
WLCt,L2,12,with-seed-bank,NA,285198084.11775184,172602740.99230576,457800825.1100576,WT,no_Phage,WLCt-L2
WLCt,L3,12,with-seed-bank,NA,478487452.9011744,300593481.8863282,779080934.7875026,WT,no_Phage,WLCt-L3
SNO,L1,12.5,no-seed-bank,317408532.16495717,1,17524745.17201665,17524746.17201665,dSpoIIE,SPO1,SNO-L1
SNO,L2,12.5,no-seed-bank,268989235.1498257,1,109642419.72936676,109642420.72936676,dSpoIIE,SPO1,SNO-L2
SNO,L3,12.5,no-seed-bank,320511093.33709526,1,17391635.89465936,17391636.89465936,dSpoIIE,SPO1,SNO-L3
WLO,L1,12.5,with-seed-bank,173277190.90443364,6128320.73024024,16635065.216809433,22763385.947049674,WT,SPO1,WLO-L1
WLO,L2,12.5,with-seed-bank,524783604.7403563,44439624.64751862,35115652.928695425,79555277.57621405,WT,SPO1,WLO-L2
WLO,L3,12.5,with-seed-bank,415314649.4004327,42041229.26416936,29323370.19012636,71364599.45429572,WT,SPO1,WLO-L3
SNCt,L1,12.5,no-seed-bank,NA,1,574370563.149694,574370564.149694,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,12.5,no-seed-bank,NA,1,1069453424.3976476,1069453425.3976476,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,12.5,no-seed-bank,NA,1,651981339.1053264,651981340.1053264,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,12.5,with-seed-bank,NA,571942876.5961316,254393399.52464938,826336276.120781,WT,no_Phage,WLCt-L1
WLCt,L2,12.5,with-seed-bank,NA,329281683.51332617,462107738.11539626,791389421.6287224,WT,no_Phage,WLCt-L2
WLCt,L3,12.5,with-seed-bank,NA,592674619.8014143,301472236.5782583,894146856.3796725,WT,no_Phage,WLCt-L3
SNO,L1,13,no-seed-bank,144405637.64621043,1,12474073.335188758,12474074.335188758,dSpoIIE,SPO1,SNO-L1
SNO,L2,13,no-seed-bank,163971648.49418533,1,124617118.32442021,124617119.32442021,dSpoIIE,SPO1,SNO-L2
SNO,L3,13,no-seed-bank,411612816.80318815,1,14595748.876233041,14595749.876233041,dSpoIIE,SPO1,SNO-L3
WLO,L1,13,with-seed-bank,1276612538.8527257,16993925.465417698,16279983.487094805,33273908.952512503,WT,SPO1,WLO-L1
WLO,L2,13,with-seed-bank,911346740.4676988,68561694.91240008,22836487.871059828,91398182.7834599,WT,SPO1,WLO-L2
WLO,L3,13,with-seed-bank,1873931431.6297438,122205662.47264725,3684313.6612049425,125889976.1338522,WT,SPO1,WLO-L3
SNCt,L1,13,no-seed-bank,NA,1,409883565.16656923,409883566.16656923,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,13,no-seed-bank,NA,1,560412399.6953292,560412400.6953292,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,13,no-seed-bank,NA,1,435649356.8097199,435649357.8097199,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,13,with-seed-bank,NA,697249736.0569713,155678047.78545633,852927783.8424276,WT,no_Phage,WLCt-L1
WLCt,L2,13,with-seed-bank,NA,619620152.7214335,79243024.95843348,698863177.679867,WT,no_Phage,WLCt-L2
WLCt,L3,13,with-seed-bank,NA,849200186.4559793,115637028.42666951,964837214.8826488,WT,no_Phage,WLCt-L3
SNO,L1,13.5,no-seed-bank,99756707.38960803,1,16900749.536422126,16900750.536422126,dSpoIIE,SPO1,SNO-L1
SNO,L2,13.5,no-seed-bank,176406189.11247543,1,71740934.77491194,71740935.77491194,dSpoIIE,SPO1,SNO-L2
SNO,L3,13.5,no-seed-bank,207670958.43887445,1,16727553.656952824,16727554.656952824,dSpoIIE,SPO1,SNO-L3
WLO,L1,13.5,with-seed-bank,328887944.4180012,33879108.61748071,20928397.34554851,54807505.96302922,WT,SPO1,WLO-L1
WLO,L2,13.5,with-seed-bank,363377934.4144127,68605759.11761722,28493346.532515302,97099105.65013252,WT,SPO1,WLO-L2
WLO,L3,13.5,with-seed-bank,495433437.8347189,23922089.12376609,15116391.677480899,39038480.801246986,WT,SPO1,WLO-L3
SNCt,L1,13.5,no-seed-bank,NA,1,1193511108.311882,1193511109.311882,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,13.5,no-seed-bank,NA,1,543026951.133624,543026952.133624,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,13.5,no-seed-bank,NA,1,625515018.5513711,625515019.5513711,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,13.5,with-seed-bank,NA,418419095.4354996,162784492.2877285,581203587.7232281,WT,no_Phage,WLCt-L1
WLCt,L2,13.5,with-seed-bank,NA,187385266.7129712,293293296.5061608,480678563.219132,WT,no_Phage,WLCt-L2
WLCt,L3,13.5,with-seed-bank,NA,458675754.07668924,139471463.11506408,598147217.1917534,WT,no_Phage,WLCt-L3
SNO,L1,14,no-seed-bank,148943357.1110062,1,10852743.42452309,10852744.42452309,dSpoIIE,SPO1,SNO-L1
SNO,L2,14,no-seed-bank,171829187.87929812,1,81332091.28516711,81332092.28516711,dSpoIIE,SPO1,SNO-L2
SNO,L3,14,no-seed-bank,467598529.51771474,1,13020074.76519587,13020075.76519587,dSpoIIE,SPO1,SNO-L3
WLO,L1,14,with-seed-bank,1374562389.1609278,72329516.5988442,3250884.4456097377,75580401.04445393,WT,SPO1,WLO-L1
WLO,L2,14,with-seed-bank,925962827.014249,81966268.33612308,15093103.666262634,97059372.0023857,WT,SPO1,WLO-L2
WLO,L3,14,with-seed-bank,2388605590.4252243,99535147.00531808,1094839.5922678902,100629986.59758596,WT,SPO1,WLO-L3
SNCt,L1,14,no-seed-bank,NA,1,736642455.8995221,736642456.8995221,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,14,no-seed-bank,NA,1,372875810.2626391,372875811.2626391,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,14,no-seed-bank,NA,1,416419722.06666577,416419723.06666577,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,14,with-seed-bank,NA,482556284.78057754,318133372.8996974,800689657.680275,WT,no_Phage,WLCt-L1
WLCt,L2,14,with-seed-bank,NA,234076887.42044985,203279817.79274097,437356705.2131908,WT,no_Phage,WLCt-L2
WLCt,L3,14,with-seed-bank,NA,488824995.1286048,220318704.9395947,709143700.0681995,WT,no_Phage,WLCt-L3
