culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml
WSO,L3,9.5,short,303320037.1246716,11871810.10686522,27789116.860179715,39660926.967044935
SNCt,L1,9.5,none,NA,1,968670411.3343083,968670412.3343083
SNCt,L2,9.5,none,NA,1,585602780.7758497,585602781.7758497
SNCt,L3,9.5,none,NA,1,589561214.7689407,589561215.7689407
WLCt,L1,9.5,long,NA,149385126.53702056,529263923.8742261,678649050.4112467
WLCt,L2,9.5,long,NA,353418182.9350027,367694997.9020649,721113180.8370676
WLCt,L3,9.5,long,NA,321217066.57050854,325496985.92425096,646714052.4947596
WSCt,L1,9.5,short,NA,178374758.1314698,366836107.1742872,545210865.305757
WSCt,L2,9.5,short,NA,390982606.2744659,246085063.04836386,637067669.3228297
WSCt,L3,9.5,short,NA,205498925.3390361,315013740.7039093,520512666.0429454
SNO,L1,10,none,307479717.10435176,1,35987241.58292585,35987242.58292585
SNO,L2,10,none,1225435927.2222397,1,89658358.79288323,89658359.79288323
SNO,L3,10,none,209259342.10949823,1,16942004.530695356,16942005.530695356
WLO,L1,10,long,182180087.81523073,39429720.30198063,7563234.37037451,46992954.67235514
WLO,L2,10,long,508004467.7710663,41300205.84899822,7301650.507910658,48601856.35690887
WLO,L3,10,long,373897963.0053097,90320088.18941492,3368911.9271126627,93689000.11652759
WSO,L1,10,short,287851339.9493693,69994562.62023795,2135943.6729462845,72130506.29318424
WSO,L2,10,short,177324340.7095077,68309449.66784528,4020838.3558341367,72330288.02367942
WSO,L3,10,short,915225490.4652196,23863557.234651037,11369359.722459693,35232916.95711073
SNCt,L1,10,none,NA,1,259724574.34659606,259724575.34659606
SNCt,L2,10,none,NA,1,385716097.66808325,385716098.66808325
SNCt,L3,10,none,NA,1,363001083.4112297,363001084.4112297
WLCt,L1,10,long,NA,186426072.18127686,263395430.4277065,449821502.6089834
WLCt,L2,10,long,NA,605431124.9933102,37678647.36132802,643109772.3546382
WLCt,L3,10,long,NA,354299653.0134257,203097174.5496809,557396827.5631065
WSCt,L1,10,short,NA,237552046.04817247,326276897.1534917,563828943.2016642
WSCt,L2,10,short,NA,535332693.4889972,33709770.240374185,569042463.7293714
WSCt,L3,10,short,NA,244142321.5741085,282597045.5017798,526739367.0758883
SNO,L1,10.5,none,225139592.30866933,1,45986442.903349176,45986443.903349176
SNO,L2,10.5,none,2653153153.654026,1,95326121.45922449,95326122.45922449
SNO,L3,10.5,none,592851819.3087466,1,22270797.1007112,22270798.1007112
WLO,L1,10.5,long,360654687.60216045,16052306.412415817,18200075.95098339,34252382.36339921
WLO,L2,10.5,long,485810423.24938786,7351722.792329672,41852743.503247574,49204466.29557724
WLO,L3,10.5,long,364062050.64492035,9511081.823711608,28794319.137878396,38305400.96159001
WSO,L1,10.5,short,110351160.0625946,35386842.695027396,4990152.844033005,40376995.5390604
WSO,L2,10.5,short,149223789.78431433,20524827.470147714,23457951.619265918,43982779.08941363
WSO,L3,10.5,short,93799941.88906124,655868.754564975,1926103.4263604525,2581972.1809254275
SNCt,L1,10.5,none,NA,1,659344320.1200182,659344321.1200182
SNCt,L2,10.5,none,NA,1,664280981.2671576,664280982.2671576
SNCt,L3,10.5,none,NA,1,876598950.774646,876598951.774646
WLCt,L1,10.5,long,NA,210999238.86633086,525443471.4276967,736442710.2940276
WLCt,L2,10.5,long,NA,206280513.1832123,310966934.0403515,517247447.2235638
WLCt,L3,10.5,long,NA,431415156.91065097,211293634.67767227,642708791.5883232
WSCt,L1,10.5,short,NA,194270774.2907089,411069921.1419829,605340695.4326918
WSCt,L2,10.5,short,NA,251420980.71277684,278585970.1195565,530006950.8323333
WSCt,L3,10.5,short,NA,187427842.60788876,493703620.6489701,681131463.2568588
SNO,L1,11,none,447527633.77401257,1,16655047.660993487,16655048.660993487
SNO,L2,11,none,804484044.7474046,1,121694291.81176361,121694292.81176361
SNO,L3,11,none,329858225.32673943,1,13836585.816290658,13836586.816290658
WLO,L1,11,long,705337561.1389215,57801706.695321575,4333529.737654732,62135236.432976305
WLO,L2,11,long,1137342721.945085,53823030.61699372,9918465.880836971,63741496.49783069
WLO,L3,11,long,810051497.0829245,83317697.90273964,2283757.344348075,85601455.24708772
WSO,L1,11,short,240273892.20769435,58531298.33213702,3721106.0396353574,62252404.37177238
WSO,L2,11,short,209430759.07584488,63521995.14799471,3549444.113479426,67071439.26147414
WSO,L3,11,short,358993516.7188889,48640623.81691761,5628182.831256557,54268806.64817417
SNCt,L1,11,none,NA,1,369512489.41486084,369512490.41486084
SNCt,L2,11,none,NA,1,408974721.9721626,408974722.9721626
SNCt,L3,11,none,NA,1,451984654.0929445,451984655.0929445
WLCt,L1,11,long,NA,232593704.87234598,320019890.5796138,552613595.4519598
WLCt,L2,11,long,NA,297486527.070468,120394198.41990991,417880725.4903779
WLCt,L3,11,long,NA,484158862.152273,216611198.36466599,700770060.5169389
WSCt,L1,11,short,NA,267129085.1534552,162316631.49333715,429445716.64679235
WSCt,L2,11,short,NA,275472242.33884066,143302778.8233433,418775021.162184
WSCt,L3,11,short,NA,230610181.44184953,180086033.02487963,410696214.46672916
SNO,L1,11.5,none,233786352.22810614,1,33296965.937186852,33296966.937186852
SNO,L2,11.5,none,494738190.4544352,1,112543372.98793352,112543373.98793352
SNO,L3,11.5,none,283679428.9026244,1,27714502.41237977,27714503.41237977
WLO,L1,11.5,long,300971694.09625506,10807201.492274165,34521585.93925521,45328787.43152937
WLO,L2,11.5,long,391182305.0936655,16949780.253606785,31541111.745227784,48490891.998834565
WLO,L3,11.5,long,408651768.8774617,28139083.367576223,39418860.30261302,67557943.67018925
WSO,L1,11.5,short,91085316.1357938,47605912.963599816,2105954.057333028,49711867.020932846
WSO,L2,11.5,short,125703239.68518832,42106785.63651783,26256697.247180708,68363482.88369854
WSO,L3,11.5,short,479164008.80521333,24540199.47617875,10559553.236072809,35099752.71225156
SNCt,L1,11.5,none,NA,1,620296768.1850731,620296769.1850731
SNCt,L2,11.5,none,NA,1,571588882.2829964,571588883.2829964
SNCt,L3,11.5,none,NA,1,807808190.7340329,807808191.7340329
WLCt,L1,11.5,long,NA,501260451.1103714,431744949.84044135,933005400.9508128
WLCt,L2,11.5,long,NA,257070840.9520166,348994791.93338335,606065632.8853999
WLCt,L3,11.5,long,NA,407847059.7737874,277582541.6594024,685429601.4331897
WSCt,L1,11.5,short,NA,240032509.82490164,341146925.0401438,581179434.8650454
WSCt,L2,11.5,short,NA,570309997.3089478,163782254.97604698,734092252.2849948
WSCt,L3,11.5,short,NA,244128824.33490258,345038220.50279,589167044.8376925
SNO,L1,12,none,260404976.42846483,1,31540310.05124306,31540311.05124306
SNO,L2,12,none,1080338598.663137,1,86834720.19843268,86834721.19843268
SNO,L3,12,none,474931454.8021109,1,25218842.731346242,25218843.731346242
WLO,L1,12,long,482403128.2503039,20616804.639934663,26492519.077776,47109323.71771066
WLO,L2,12,long,784477296.9716538,104200036.4079372,23711246.10198127,127911282.50991847
WLO,L3,12,long,899881264.9243374,89312829.25101227,4258520.0543942675,93571349.30540654
WSO,L1,12,short,1495837705.5555587,74749843.69716644,1396303.4170747136,76146147.11424115
WSO,L2,12,short,251066483.68551415,88500598.28817375,1446450.1138552711,89947048.40202902
WSO,L3,12,short,221201127.69709876,60368887.85543449,17113888.519798033,77482776.37523252
SNCt,L1,12,none,NA,1,397038280.3711663,397038281.3711663
SNCt,L2,12,none,NA,1,459788858.9398023,459788859.9398023
SNCt,L3,12,none,NA,1,464806016.6339226,464806017.6339226
WLCt,L1,12,long,NA,521286361.8101525,278205664.2403884,799492026.0505409
WLCt,L2,12,long,NA,285198084.11775184,172602740.99230576,457800825.1100576
WLCt,L3,12,long,NA,478487452.9011744,300593481.8863282,779080934.7875026
WSCt,L1,12,short,NA,293234269.9096048,182566108.05268952,475800377.96229434
WSCt,L2,12,short,NA,618688868.0392301,21084249.01989034,639773117.0591204
WSCt,L3,12,short,NA,248887201.70786732,306309841.4407615,555197043.1486288
SNO,L1,12.5,none,317408532.16495717,1,17524745.17201665,17524746.17201665
SNO,L2,12.5,none,268989235.1498257,1,109642419.72936676,109642420.72936676
SNO,L3,12.5,none,320511093.33709526,1,17391635.89465936,17391636.89465936
WLO,L1,12.5,long,173277190.90443364,6128320.73024024,16635065.216809433,22763385.947049674
WLO,L2,12.5,long,524783604.7403563,44439624.64751862,35115652.928695425,79555277.57621405
WLO,L3,12.5,long,415314649.4004327,42041229.26416936,29323370.19012636,71364599.45429572
WSO,L1,12.5,short,102026420.357604,62191285.60688552,2977725.1465734076,65169010.75345893
WSO,L2,12.5,short,146144060.9118017,22603400.952338837,29475603.36529103,52079004.31762987
WSO,L3,12.5,short,296348017.03887856,26853766.1649948,36510826.36138329,63364592.52637809
SNCt,L1,12.5,none,NA,1,574370563.149694,574370564.149694
SNCt,L2,12.5,none,NA,1,1069453424.3976476,1069453425.3976476
SNCt,L3,12.5,none,NA,1,651981339.1053264,651981340.1053264
WLCt,L1,12.5,long,NA,571942876.5961316,254393399.52464938,826336276.120781
WLCt,L2,12.5,long,NA,329281683.51332617,462107738.11539626,791389421.6287224
WLCt,L3,12.5,long,NA,592674619.8014143,301472236.5782583,894146856.3796725
WSCt,L1,12.5,short,NA,260844337.22041717,334338777.51291037,595183114.7333275
WSCt,L2,12.5,short,NA,259376870.40235475,325242036.21637964,584618906.6187344
WSCt,L3,12.5,short,NA,230103852.3187817,494724608.6148741,724828460.9336559
SNO,L1,13,none,144405637.64621043,1,12474073.335188758,12474074.335188758
SNO,L2,13,none,163971648.49418533,1,124617118.32442021,124617119.32442021
SNO,L3,13,none,411612816.80318815,1,14595748.876233041,14595749.876233041
WLO,L1,13,long,1276612538.8527257,16993925.465417698,16279983.487094805,33273908.952512503
WLO,L2,13,long,911346740.4676988,68561694.91240008,22836487.871059828,91398182.7834599
WLO,L3,13,long,1873931431.6297438,122205662.47264725,3684313.6612049425,125889976.1338522
WSO,L1,13,short,234102647.78742123,82458047.49394721,1923432.2509479919,84381479.7448952
WSO,L2,13,short,115124042.96884894,42037270.29268081,3231964.480413436,45269234.773094244
WSO,L3,13,short,226369026.03255904,36408340.82758172,43076355.49656324,79484696.32414496
SNCt,L1,13,none,NA,1,409883565.16656923,409883566.16656923
SNCt,L2,13,none,NA,1,560412399.6953292,560412400.6953292
SNCt,L3,13,none,NA,1,435649356.8097199,435649357.8097199
WLCt,L1,13,long,NA,697249736.0569713,155678047.78545633,852927783.8424276
WLCt,L2,13,long,NA,619620152.7214335,79243024.95843348,698863177.679867
WLCt,L3,13,long,NA,849200186.4559793,115637028.42666951,964837214.8826488
WSCt,L1,13,short,NA,299228176.31198907,260811551.5589615,560039727.8709506
WSCt,L2,13,short,NA,355499659.6767013,279355745.26283365,634855404.9395349
WSCt,L3,13,short,NA,247670523.3872143,289745199.7642028,537415723.151417
SNO,L1,13.5,none,99756707.38960803,1,16900749.536422126,16900750.536422126
SNO,L2,13.5,none,176406189.11247543,1,71740934.77491194,71740935.77491194
SNO,L3,13.5,none,207670958.43887445,1,16727553.656952824,16727554.656952824
WLO,L1,13.5,long,328887944.4180012,33879108.61748071,20928397.34554851,54807505.96302922
WLO,L2,13.5,long,363377934.4144127,68605759.11761722,28493346.532515302,97099105.65013252
WLO,L3,13.5,long,495433437.8347189,23922089.12376609,15116391.677480899,39038480.801246986
WSO,L1,13.5,short,85688863.27176453,90434775.83554223,1839082.7207867494,92273858.55632898
WSO,L2,13.5,short,63419317.22991167,30998727.395280596,24123678.498823997,55122405.89410459
WSO,L3,13.5,short,156415873.51964396,47041196.77150463,4375602.162723098,51416798.934227735
SNCt,L1,13.5,none,NA,1,1193511108.311882,1193511109.311882
SNCt,L2,13.5,none,NA,1,543026951.133624,543026952.133624
SNCt,L3,13.5,none,NA,1,625515018.5513711,625515019.5513711
WLCt,L1,13.5,long,NA,418419095.4354996,162784492.2877285,581203587.7232281
WLCt,L2,13.5,long,NA,187385266.7129712,293293296.5061608,480678563.219132
WLCt,L3,13.5,long,NA,458675754.07668924,139471463.11506408,598147217.1917534
WSCt,L1,13.5,short,NA,236962802.0533774,319890152.5502392,556852954.6036166
WSCt,L2,13.5,short,NA,265558436.4931351,285487280.0777377,551045716.5708728
WSCt,L3,13.5,short,NA,258629111.40566716,334070215.4321975,592699326.8378646
SNO,L1,14,none,148943357.1110062,1,10852743.42452309,10852744.42452309
SNO,L2,14,none,171829187.87929812,1,81332091.28516711,81332092.28516711
SNO,L3,14,none,467598529.51771474,1,13020074.76519587,13020075.76519587
WLO,L1,14,long,1374562389.1609278,72329516.5988442,3250884.4456097377,75580401.04445393
WLO,L2,14,long,925962827.014249,81966268.33612308,15093103.666262634,97059372.0023857
WLO,L3,14,long,2388605590.4252243,99535147.00531808,1094839.5922678902,100629986.59758596
WSO,L1,14,short,265509909.68033737,109423799.60725105,653864.9521898925,110077664.55944094
WSO,L2,14,short,120462332.9715628,67340682.06400713,3036823.1850862126,70377505.24909334
WSO,L3,14,short,259528658.6233582,69470322.39684877,28400337.140018262,97870659.53686702
SNCt,L1,14,none,NA,1,736642455.8995221,736642456.8995221
SNCt,L2,14,none,NA,1,372875810.2626391,372875811.2626391
SNCt,L3,14,none,NA,1,416419722.06666577,416419723.06666577
WLCt,L1,14,long,NA,482556284.78057754,318133372.8996974,800689657.680275
WLCt,L2,14,long,NA,234076887.42044985,203279817.79274097,437356705.2131908
WLCt,L3,14,long,NA,488824995.1286048,220318704.9395947,709143700.0681995
WSCt,L1,14,short,NA,266516872.65436357,254501190.54011112,521018063.1944747
WSCt,L2,14,short,NA,435246861.2993225,157243634.45442563,592490495.7537482
WSCt,L3,14,short,NA,284600216.3959104,319175070.7002392,603775287.0961496
